?|100133144
?|100134869
?|10357
?|155060
?|340602
?|390284
?|553137
?|57714
?|645851
?|652919
?|653553
?|729884
?|90288
A1BG|1
A1CF|29974
A2BP1|54715
A2ML1|144568
A2M|2
A4GALT|53947
A4GNT|51146
AACSL|729522
AADACL2|344752
AADAC|13
AADAT|51166
AASS|10157
AATK|9625
ABAT|18
ABCA10|10349
ABCA12|26154
ABCA13|154664
ABCA17P|650655
ABCA1|19
ABCA2|20
ABCA3|21
ABCA4|24
ABCA5|23461
ABCA6|23460
ABCA7|10347
ABCA8|10351
ABCA9|10350
ABCB11|8647
ABCB1|5243
ABCB4|5244
ABCB5|340273
ABCC11|85320
ABCC12|94160
ABCC13|150000
ABCC1|4363
ABCC2|1244
ABCC3|8714
ABCC4|10257
ABCC5|10057
ABCC6P1|653190
ABCC6P2|730013
ABCC6|368
ABCC8|6833
ABCC9|10060
ABCD2|225
ABCG1|9619
ABCG2|9429
ABCG4|64137
ABCG5|64240
ABCG8|64241
ABHD11|83451
ABHD12B|145447
ABHD14A|25864
ABHD1|84696
ABHD2|11057
ABHD6|57406
ABI3BP|25890
ABI3|51225
ABLIM1|3983
ABLIM2|84448
ABLIM3|22885
ABO|28
ABP1|26
ABRA|137735
ABR|29
ABTB2|25841
ACAA2|10449
ACACB|32
ACAD11|84129
ACADL|33
ACADSB|36
ACADS|35
ACAN|176
ACAP1|9744
ACAT1|38
ACAT2|39
ACBD4|79777
ACBD7|414149
ACCN1|40
ACCN2|41
ACCN3|9311
ACCN4|55515
ACCS|84680
ACE2|59272
ACER1|125981
ACER2|340485
ACE|1636
ACHE|43
ACMSD|130013
ACOT11|26027
ACOT12|134526
ACOT1|641371
ACOT4|122970
ACOT6|641372
ACOT7|11332
ACOX2|8309
ACOXL|55289
ACP5|54
ACP6|51205
ACPL2|92370
ACPP|55
ACRBP|84519
ACRC|93953
ACRV1|56
ACR|49
ACSBG1|23205
ACSF2|80221
ACSL1|2180
ACSL4|2182
ACSL5|51703
ACSL6|23305
ACSM1|116285
ACSM2A|123876
ACSM2B|348158
ACSM3|6296
ACSM5|54988
ACSS1|84532
ACSS3|79611
ACTA1|58
ACTA2|59
ACTBL2|345651
ACTC1|70
ACTG2|72
ACTL6B|51412
ACTL8|81569
ACTN1|87
ACTN2|88
ACTR3C|653857
ACVR1C|130399
ACVRL1|94
ACY1|95
ACY3|91703
ADAD2|161931
ADAM11|4185
ADAM12|8038
ADAM19|8728
ADAM21|8747
ADAM22|53616
ADAM23|8745
ADAM28|10863
ADAM2|2515
ADAM32|203102
ADAM33|80332
ADAM6|8755
ADAM8|101
ADAM9|8754
ADAMDEC1|27299
ADAMTS10|81794
ADAMTS12|81792
ADAMTS13|11093
ADAMTS14|140766
ADAMTS15|170689
ADAMTS16|170690
ADAMTS17|170691
ADAMTS18|170692
ADAMTS19|171019
ADAMTS1|9510
ADAMTS20|80070
ADAMTS2|9509
ADAMTS3|9508
ADAMTS4|9507
ADAMTS5|11096
ADAMTS6|11174
ADAMTS7|11173
ADAMTS8|11095
ADAMTS9|56999
ADAMTSL1|92949
ADAMTSL2|9719
ADAMTSL3|57188
ADAMTSL4|54507
ADAMTSL5|339366
ADAP1|11033
ADAP2|55803
ADARB2|105
ADAT3|113179
ADA|100
ADCY10|55811
ADCY1|107
ADCY2|108
ADCY4|196883
ADCY5|111
ADCY7|113
ADCY8|114
ADCY9|115
ADCYAP1R1|117
ADCYAP1|116
ADC|113451
ADD2|119
ADD3|120
ADH1A|124
